n,x,y,val,dP,lab,xT,yT
189,-3.455243,-2.725727,0,2328,1,NaN,NaN
190,-3.4406,-2.737487,0,2332,1,NaN,NaN
191,-3.434743,-2.746306,0,2335,1,NaN,NaN
192,-3.425956,-2.752186,0,2336,1,NaN,NaN
193,-3.411313,-2.749246,0,2338,1,NaN,NaN
194,-3.396669,-2.746306,0,2339,1,NaN,NaN
195,-3.399597,-2.740427,0,2336,1,NaN,NaN
196,-3.408384,-2.737487,0,2334,1,NaN,NaN
197,-3.41717,-2.737487,0,2331,1,NaN,NaN
198,-3.41717,-2.737487,0,2330,1,NaN,NaN
199,-3.423028,-2.740427,0,2331,1,NaN,NaN
200,-3.428885,-2.737487,0,2332,1,NaN,NaN
201,-3.425956,-2.734547,0,2333,1,NaN,NaN
202,-3.423028,-2.734547,0,2332,1,NaN,NaN
203,-3.420099,-2.737487,0,2335,1,NaN,NaN
204,-3.420099,-2.740427,0,2336,1,NaN,NaN
205,-3.41717,-2.740427,0,2336,1,NaN,NaN
206,-3.405455,-2.731607,0,2334,1,NaN,NaN
207,-3.396669,-2.722787,0,2333,1,NaN,NaN
208,-3.39374,-2.713967,0,2333,1,NaN,NaN
209,-3.39374,-2.711027,0,2333,1,NaN,NaN
210,-3.390811,-2.708087,0,2334,1,NaN,NaN
211,-3.387882,-2.708087,0,2334,1,NaN,NaN
212,-3.39374,-2.699267,0,2334,1,NaN,NaN
213,-3.399597,-2.693386,0,2334,1,NaN,NaN
214,-3.399597,-2.690446,0,2333,1,NaN,NaN
215,-3.390811,-2.696326,0,2333,1,NaN,NaN
216,-3.387882,-2.702207,0,2333,1,NaN,NaN
217,-3.39374,-2.705147,0,2333,1,NaN,NaN
218,-3.387882,-2.708087,0,2334,1,NaN,NaN
219,-3.376166,-2.705147,0,2335,1,NaN,NaN
220,-3.367379,-2.705147,0,2335,1,NaN,NaN
221,-3.370308,-2.702207,0,2335,1,NaN,NaN
222,-3.373237,-2.705147,0,2335,1,NaN,NaN
223,-3.376166,-2.708087,0,2332,1,NaN,NaN
224,-3.376166,-2.711027,0,2329,1,NaN,NaN
225,-3.379095,-2.711027,0,2325,1,NaN,NaN
226,-3.379095,-2.708087,0,2323,1,NaN,NaN
227,-3.379095,-2.699267,0,2322,1,NaN,NaN
228,-3.376166,-2.696326,0,2323,1,NaN,NaN
229,-3.373237,-2.699267,0,2326,1,NaN,NaN
230,-3.373237,-2.681626,0,2328,1,NaN,NaN
231,-3.373237,-2.658104,0,2330,1,NaN,NaN
232,-3.370308,-2.646342,0,2332,1,NaN,NaN
233,-3.370308,-2.643402,0,2332,1,NaN,NaN
234,-3.370308,-2.637521,0,2332,1,NaN,NaN
235,-3.370308,-2.63164,0,2332,1,NaN,NaN
236,-3.370308,-2.643402,0,2332,1,NaN,NaN
237,-3.373237,-2.658104,0,2331,1,NaN,NaN
238,-3.379095,-2.666925,0,2330,1,NaN,NaN
239,-3.382024,-2.666925,0,2329,1,NaN,NaN
240,-3.376166,-2.663984,0,2329,1,NaN,NaN
241,-3.355662,-2.661044,0,2328,1,NaN,NaN
242,-3.338087,-2.661044,0,2327,1,NaN,NaN
243,-3.32637,-2.663984,0,2326,1,NaN,NaN
244,-3.332229,-2.672805,0,2326,1,NaN,NaN
245,-3.335158,-2.684566,0,2326,1,NaN,NaN
246,-3.335158,-2.693386,0,2325,1,NaN,NaN
247,-3.341017,-2.696326,0,2325,1,NaN,NaN
248,-3.343946,-2.696326,0,2325,1,NaN,NaN
249,-3.355662,-2.696326,0,2327,1,NaN,NaN
250,-3.36445,-2.696326,0,2329,1,NaN,NaN
251,-3.355662,-2.699267,0,2331,1,NaN,NaN
252,-3.335158,-2.705147,0,2331,1,NaN,NaN
253,-3.311724,-2.711027,0,2331,1,NaN,NaN
254,-3.300006,-2.711027,0,2331,1,NaN,NaN
255,-3.291217,-2.716907,0,2331,1,NaN,NaN
256,-3.282429,-2.722787,0,2332,1,NaN,NaN
257,-3.279499,-2.734547,0,2329,1,NaN,NaN
258,-3.282429,-2.737487,0,2326,1,NaN,NaN
259,-3.285358,-2.743367,0,2324,1,NaN,NaN
260,-3.291217,-2.743367,0,2326,1,NaN,NaN
261,-3.279499,-2.746306,0,2330,1,NaN,NaN
262,-3.267781,-2.749246,0,2333,1,NaN,NaN
263,-3.253132,-2.740427,0,2335,1,NaN,NaN
264,-3.253132,-2.734547,0,2335,1,NaN,NaN
265,-3.256062,-2.728667,0,2335,1,NaN,NaN
266,-3.261921,-2.731607,0,2334,1,NaN,NaN
267,-3.27071,-2.737487,0,2335,1,NaN,NaN
268,-3.264851,-2.743367,0,2336,1,NaN,NaN
269,-3.27071,-2.749246,0,2336,1,NaN,NaN
270,-3.27364,-2.752186,0,2336,1,NaN,NaN
271,-3.27364,-2.755126,0,2336,1,NaN,NaN
272,-3.258992,-2.755126,0,2335,1,NaN,NaN
273,-3.247273,-2.755126,0,2333,1,NaN,NaN
274,-3.244343,-2.752186,0,2331,1,NaN,NaN
275,-3.226764,-2.749246,0,2331,1,NaN,NaN
276,-3.206254,-2.746306,0,2332,1,NaN,NaN
277,-3.200394,-2.740427,0,2334,1,NaN,NaN
278,-3.215044,-2.737487,0,2336,1,NaN,NaN
279,-3.226764,-2.740427,0,2337,1,NaN,NaN
280,-3.223834,-2.743367,0,2337,1,NaN,NaN
281,-3.223834,-2.734547,0,2337,1,NaN,NaN
282,-3.220904,-2.725727,0,2336,1,NaN,NaN
283,-3.220904,-2.731607,0,2336,1,NaN,NaN
284,-3.220904,-2.749246,0,2336,1,NaN,NaN
285,-3.203324,-2.766885,0,2336,1,NaN,NaN
286,-3.185744,-2.758066,0,2336,1,NaN,NaN
287,-3.165233,-2.746306,0,2335,1,NaN,NaN
288,-3.162302,-2.737487,0,2333,1,NaN,NaN
289,-3.162302,-2.740427,0,2333,1,NaN,NaN
290,-3.153512,-2.746306,0,2334,1,NaN,NaN
291,-3.144721,-2.746306,0,2334,1,NaN,NaN
292,-3.132999,-2.755126,0,2333,1,NaN,NaN
293,-3.132999,-2.766885,0,2333,1,NaN,NaN
294,-3.150581,-2.775704,0,2333,1,NaN,NaN
295,-3.165233,-2.769825,0,2334,1,NaN,NaN
296,-3.179884,-2.766885,0,2334,1,NaN,NaN
297,-3.174023,-2.749246,0,2335,1,NaN,NaN
298,-3.168163,-2.731607,0,2336,1,NaN,NaN
299,-3.153512,-2.719847,0,2338,1,NaN,NaN
300,-3.13886,-2.728667,0,2339,1,NaN,NaN
301,-3.130069,-2.746306,0,2340,1,NaN,NaN
302,-3.13593,-2.746306,0,2340,1,NaN,NaN
303,-3.153512,-2.740427,0,2341,1,NaN,NaN
304,-3.165233,-2.758066,0,2340,1,NaN,NaN
305,-3.165233,-2.787463,0,2340,1,NaN,NaN
306,-3.153512,-2.81098,0,2340,1,NaN,NaN
307,-3.144721,-2.808041,0,2340,1,NaN,NaN
308,-3.144721,-2.805101,0,2340,1,NaN,NaN
309,-3.153512,-2.802161,0,2340,1,NaN,NaN
310,-3.162302,-2.802161,0,2340,1,NaN,NaN
311,-3.159372,-2.799222,0,2340,1,NaN,NaN
312,-3.156442,-2.793343,0,2340,1,NaN,NaN
313,-3.153512,-2.784524,0,2339,1,NaN,NaN
314,-3.156442,-2.778644,0,2335,1,NaN,NaN
315,-3.159372,-2.781584,0,2332,1,NaN,NaN
316,-3.159372,-2.787463,0,2333,1,NaN,NaN
317,-3.159372,-2.787463,0,2337,1,NaN,NaN
318,-3.162302,-2.778644,0,2340,1,NaN,NaN
319,-3.165233,-2.769825,0,2339,1,NaN,NaN
320,-3.168163,-2.772765,0,2338,1,NaN,NaN
321,-3.159372,-2.772765,0,2339,1,NaN,NaN
322,-3.147651,-2.781584,0,2340,1,NaN,NaN
323,-3.13593,-2.793343,0,2341,1,NaN,NaN
324,-3.13886,-2.799222,0,2342,1,NaN,NaN
325,-3.13886,-2.793343,0,2338,1,NaN,NaN
326,-3.130069,-2.772765,0,2333,1,NaN,NaN
327,-3.121277,-2.755126,0,2329,1,NaN,NaN
328,-3.115416,-2.740427,0,2330,1,NaN,NaN
329,-3.112486,-2.746306,0,2332,1,NaN,NaN
330,-3.112486,-2.758066,0,2334,1,NaN,NaN
331,-3.115416,-2.763945,0,2335,1,NaN,NaN
332,-3.115416,-2.766885,0,2336,1,NaN,NaN
333,-3.118347,-2.766885,0,2336,1,NaN,NaN
334,-3.118347,-2.778644,0,2336,1,NaN,NaN
335,-3.121277,-2.787463,0,2335,1,NaN,NaN
336,-3.124208,-2.784524,0,2335,1,NaN,NaN
337,-3.124208,-2.769825,0,2332,1,NaN,NaN
338,-3.121277,-2.755126,0,2329,1,NaN,NaN
339,-3.112486,-2.755126,0,2328,1,NaN,NaN
340,-3.103694,-2.755126,0,2328,1,NaN,NaN
341,-3.091972,-2.761006,0,2328,1,NaN,NaN
342,-3.080249,-2.763945,0,2328,1,NaN,NaN
343,-3.065595,-2.769825,0,2327,1,NaN,NaN
344,-3.077318,-2.775704,0,2328,1,NaN,NaN
345,-3.097833,-2.775704,0,2328,1,NaN,NaN
346,-3.115416,-2.772765,0,2328,1,NaN,NaN
347,-3.109555,-2.769825,0,2328,1,NaN,NaN
348,-3.103694,-2.772765,0,2328,1,NaN,NaN
349,-3.097833,-2.772765,0,2328,1,NaN,NaN
350,-3.091972,-2.772765,0,2329,1,NaN,NaN
351,-3.08611,-2.772765,0,2331,1,NaN,NaN
352,-3.08318,-2.775704,0,2332,1,NaN,NaN
353,-3.08318,-2.775704,0,2333,1,NaN,NaN
354,-3.08318,-2.775704,0,2333,1,NaN,NaN
355,-3.077318,-2.778644,0,2333,1,NaN,NaN
356,-3.071457,-2.781584,0,2333,1,NaN,NaN
357,-3.065595,-2.784524,0,2333,1,NaN,NaN
358,-3.062664,-2.784524,0,2333,1,NaN,NaN
359,-3.056803,-2.784524,0,2332,1,NaN,NaN
360,-3.050941,-2.784524,0,2332,1,NaN,NaN
361,-3.050941,-2.796282,0,2331,1,NaN,NaN
362,-3.062664,-2.802161,0,2331,1,NaN,NaN
363,-3.071457,-2.802161,0,2329,1,NaN,NaN
364,-3.065595,-2.802161,0,2328,1,NaN,NaN
365,-3.04801,-2.805101,0,2327,1,NaN,NaN
366,-3.027493,-2.805101,0,2326,1,NaN,NaN
367,-3.021631,-2.796282,0,2326,1,NaN,NaN
368,-3.021631,-2.778644,0,2327,1,NaN,NaN
369,-3.021631,-2.766885,0,2328,1,NaN,NaN
370,-3.021631,-2.758066,0,2329,1,NaN,NaN
371,-3.024562,-2.752186,0,2329,1,NaN,NaN
372,-3.024562,-2.752186,0,2328,1,NaN,NaN
373,-3.030424,-2.752186,0,2327,1,NaN,NaN
374,-3.033355,-2.758066,0,2325,1,NaN,NaN
375,-3.027493,-2.763945,0,2325,1,NaN,NaN
376,-3.0187,-2.772765,0,2324,1,NaN,NaN
377,-3.009907,-2.781584,0,2324,1,NaN,NaN
378,-3.012838,-2.787463,0,2321,1,NaN,NaN
379,-3.009907,-2.796282,0,2318,1,NaN,NaN
380,-3.001114,-2.799222,0,2317,1,NaN,NaN
381,-2.977664,-2.802161,0,2320,1,NaN,NaN
382,-2.963008,-2.799222,0,2324,1,NaN,NaN
383,-2.951282,-2.799222,0,2326,1,NaN,NaN
384,-2.96887,-2.802161,0,2326,1,NaN,NaN
385,-2.986458,-2.805101,0,2326,1,NaN,NaN
386,-3.004045,-2.819799,0,2326,1,NaN,NaN
387,-3.006976,-2.831557,0,2327,1,NaN,NaN
388,-3.012838,-2.843314,0,2327,1,NaN,NaN
389,-3.027493,-2.846254,0,2327,1,NaN,NaN
390,-3.045079,-2.852132,0,2327,1,NaN,NaN
391,-3.030424,-2.855072,0,2326,1,NaN,NaN
392,-3.006976,-2.855072,0,2324,1,NaN,NaN
393,-2.980595,-2.855072,0,2322,1,NaN,NaN
394,-2.977664,-2.855072,0,2320,1,NaN,NaN
395,-2.965939,-2.852132,0,2320,1,NaN,NaN
396,-2.960076,-2.852132,0,2319,1,NaN,NaN
397,-2.951282,-2.843314,0,2318,1,NaN,NaN
398,-2.942488,-2.834496,0,2317,1,NaN,NaN
399,-2.933693,-2.822738,0,2318,1,NaN,NaN
400,-2.957145,-2.816859,0,2319,1,NaN,NaN
401,-2.989389,-2.81392,0,2319,1,NaN,NaN
402,-3.024562,-2.805101,0,2318,1,NaN,NaN
403,-3.027493,-2.796282,0,2317,1,NaN,NaN
404,-3.027493,-2.790403,0,2317,1,NaN,NaN
405,-3.030424,-2.784524,0,2316,1,NaN,NaN
406,-3.030424,-2.775704,0,2315,1,NaN,NaN
407,-3.015769,-2.772765,0,2313,1,NaN,NaN
408,-3.004045,-2.769825,0,2311,1,NaN,NaN
409,-2.998183,-2.778644,0,2309,1,NaN,NaN
410,-3.009907,-2.790403,0,2308,1,NaN,NaN
411,-3.006976,-2.784524,0,2308,1,NaN,NaN
412,-2.989389,-2.763945,0,2308,1,NaN,NaN
413,-2.96887,-2.743367,0,2307,1,NaN,NaN
414,-2.957145,-2.737487,0,2305,1,NaN,NaN
415,-2.974733,-2.740427,0,2304,1,NaN,NaN
416,-2.99232,-2.743367,0,2303,1,NaN,NaN
417,-3.009907,-2.746306,0,2303,1,NaN,NaN
418,-3.006976,-2.755126,0,2302,1,NaN,NaN
419,-3.006976,-2.758066,0,2303,1,NaN,NaN
420,-3.006976,-2.766885,0,2303,1,NaN,NaN
421,-3.006976,-2.769825,0,2303,1,NaN,NaN
422,-3.009907,-2.766885,0,2302,1,NaN,NaN
423,-3.012838,-2.752186,0,2301,1,NaN,NaN
424,-3.009907,-2.737487,0,2300,1,NaN,NaN
425,-3.001114,-2.716907,0,2300,1,NaN,NaN
426,-3.004045,-2.705147,0,2300,1,NaN,NaN
427,-3.006976,-2.699267,0,2300,1,NaN,NaN
428,-3.012838,-2.705147,0,2300,1,NaN,NaN
429,-3.009907,-2.716907,0,2299,1,NaN,NaN
430,-3.009907,-2.722787,0,2297,1,NaN,NaN
431,-3.012838,-2.740427,0,2297,1,NaN,NaN
432,-3.012838,-2.749246,0,2296,1,NaN,NaN
433,-2.995252,-2.737487,0,2296,1,NaN,NaN
434,-2.977664,-2.713967,0,2295,1,NaN,NaN
435,-2.954214,-2.690446,0,2294,1,NaN,NaN
436,-2.951282,-2.690446,0,2294,1,NaN,NaN
437,-2.957145,-2.696326,0,2294,1,NaN,NaN
438,-2.971802,-2.713967,0,2294,1,NaN,NaN
439,-2.983527,-2.728667,0,2294,1,NaN,NaN
440,-2.99232,-2.734547,0,2294,1,NaN,NaN
441,-2.995252,-2.734547,0,2294,1,NaN,NaN
442,-2.995252,-2.740427,0,2293,1,NaN,NaN
443,-2.99232,-2.752186,0,2293,1,NaN,NaN
444,-3.001114,-2.763945,0,2293,1,NaN,NaN
445,-3.012838,-2.766885,0,2293,1,NaN,NaN
446,-3.001114,-2.752186,0,2293,1,NaN,NaN
447,-2.980595,-2.731607,0,2293,1,NaN,NaN
448,-2.960076,-2.716907,0,2292,1,NaN,NaN
449,-2.963008,-2.719847,0,2292,1,NaN,NaN
450,-2.965939,-2.722787,0,2292,1,NaN,NaN
451,-2.963008,-2.722787,0,2292,1,NaN,NaN
452,-2.960076,-2.722787,0,2292,1,NaN,NaN
453,-2.957145,-2.734547,0,2289,1,NaN,NaN
454,-2.957145,-2.740427,0,2286,1,NaN,NaN
455,-2.957145,-2.752186,0,2284,1,NaN,NaN
456,-2.957145,-2.755126,0,2285,1,NaN,NaN
457,-2.957145,-2.758066,0,2285,1,NaN,NaN
458,-2.957145,-2.758066,0,2284,1,NaN,NaN
459,-2.957145,-2.758066,0,2284,1,NaN,NaN
460,-2.957145,-2.761006,0,2282,1,NaN,NaN
461,-2.945419,-2.763945,0,2280,1,NaN,NaN
462,-2.933693,-2.766885,0,2278,1,NaN,NaN
463,-2.92783,-2.769825,0,2276,1,NaN,NaN
464,-2.933693,-2.772765,0,2274,1,NaN,NaN
465,-2.945419,-2.775704,0,2272,1,NaN,NaN
466,-2.954214,-2.775704,0,2270,1,NaN,NaN
467,-2.965939,-2.775704,0,2270,1,NaN,NaN
468,-2.971802,-2.775704,0,2269,1,NaN,NaN
469,-2.974733,-2.775704,0,2270,1,NaN,NaN
470,-2.974733,-2.778644,0,2270,1,NaN,NaN
471,-2.974733,-2.781584,0,2271,1,NaN,NaN
472,-2.960076,-2.775704,0,2270,1,NaN,NaN
473,-2.945419,-2.772765,0,2268,1,NaN,NaN
474,-2.939556,-2.769825,0,2266,1,NaN,NaN
475,-2.945419,-2.766885,0,2263,1,NaN,NaN
476,-2.954214,-2.763945,0,2260,1,NaN,NaN
477,-2.960076,-2.761006,0,2258,1,NaN,NaN
478,-2.971802,-2.761006,0,2257,1,NaN,NaN
479,-2.977664,-2.758066,0,2257,1,NaN,NaN
480,-2.977664,-2.755126,0,2257,1,NaN,NaN
481,-2.96887,-2.755126,0,2257,1,NaN,NaN
482,-2.957145,-2.761006,0,2256,1,NaN,NaN
483,-2.951282,-2.769825,0,2256,1,NaN,NaN
